"created","modified","id","awardee","award","awarding_body","year","url"
"2020-01-10 20:45:34.991561","2020-01-10 20:45:34.991561",1,"Caesar A. Saloma","Award for Continuing Excellence and Service (ACES)","Metrobank Foundation, Inc. (MBFI)",2014,NULL
"2020-01-10 20:45:34.99458","2020-01-10 20:45:34.99458",2,"Caesar A. Saloma","Who's Who in Science and Engineering","Marquis",2011,NULL
"2020-01-10 20:45:34.995561","2020-01-10 20:45:34.995561",3,"Caesar A. Saloma","Asian Scientist","Ultimate List of 15 Asian Scientist to Watch",2011,"http://www.asianscientist.com/features/the-ultimate-list-15-asian-scientists-watch/"
"2020-01-10 20:45:34.995561","2020-01-10 20:45:34.995561",4,"Caesar A. Saloma","Senior Member","Optical Society of America",2010,NULL
"2020-01-10 20:45:34.996561","2020-01-10 20:45:34.996561",5,"Caesar A. Saloma","Outstanding Science Administrator Award (Dioscoro L. Umali Medal)","DOST and NAST",2010,NULL
"2020-01-10 20:45:34.996561","2020-01-10 20:45:34.996561",6,"Caesar A. Saloma","Spotlight on: Excellent Researchers from Southeast Asia","SEA-EU-NET Mapping Study",2009,"http://www.sea-eu.net/object/document/20"
"2020-01-10 20:45:34.997563","2020-01-10 20:45:34.997563",7,"Caesar A. Saloma","Lingkod Bayan Award - the Presidential Award for Outstanding Public Service","Civil Service Commission",2008,NULL
"2020-01-10 20:45:34.997563","2020-01-10 20:45:34.997563",8,"Caesar A. Saloma","Fellow","Samahang Pisika ng Pilipinas",2008,NULL
"2020-01-10 20:45:34.998561","2020-01-10 20:45:34.998561",9,"Caesar A. Saloma","Metrobank Foundation Outstanding Teacher Award","Metrobank Foundation, Inc. (MBFI)",2007,NULL
"2020-01-10 20:45:34.998561","2020-01-10 20:45:34.998561",10,"Caesar A. Saloma","Gawad Chanselor para sa Natatanging Guro (Outstanding Teacher)","University of the Philippines Diliman",2006,NULL
"2020-01-10 20:45:34.999562","2020-01-10 20:45:34.999562",11,"Caesar A. Saloma","Galileo Galilei Award","International Commission for Optics",2004,"http://e-ico.org/publications/newsletter/ico_apr05#Saloma"
"2020-01-10 20:45:34.999562","2020-01-10 20:45:34.999562",12,"Caesar A. Saloma","Outstanding R&D Award in Basic Research (Eduardo Quisumbing Medal)","Department of Science and Technology, Philippines (DOST)",1999,NULL
"2020-01-10 20:45:35.000523","2020-01-10 20:45:35.000523",13,"Caesar A. Saloma","Third World Academy of Science (TWAS) Prize in Physics","NAST",1997,NULL
"2020-01-10 20:45:35.000523","2020-01-10 20:45:35.000523",14,"Caesar A. Saloma","Outstanding Young Scientist (Applied Physics)","National Academy of Science and Technology, Philippines (NAST)",1992,NULL
"2020-01-10 20:45:35.001523","2020-01-10 20:45:35.001523",15,"Maricor N. Soriano","PCIEERD 2018 R&D Award","PCIEERD",2018,NULL
"2020-01-10 20:45:35.001523","2020-01-10 20:45:35.001523",16,"Maricor N. Soriano","Ideaspace Incubation","Ideaspace",2017,NULL
"2020-01-10 20:45:35.002524","2020-01-10 20:45:35.002524",17,"Maricor N. Soriano","Leaders in Innovation Fellow Award","Newton Fund",2015,NULL
"2020-01-10 20:45:35.002524","2020-01-10 20:45:35.002524",18,"Maricor N. Soriano","The Outstanding Women in the Nation's Service","TOWNS Foundation",2013,NULL
"2020-01-10 20:45:35.003524","2020-01-10 20:45:35.003524",19,"Maricor N. Soriano","Achievement Award in Physics","NRCP",2010,NULL
"2020-01-10 20:45:35.003524","2020-01-10 20:45:35.003524",20,"Maricor N. Soriano","Third World Academy of Science Prize in Physics","NAST",2009,NULL
"2020-01-10 20:45:35.004523","2020-01-10 20:45:35.004523",21,"Maricor N. Soriano","Outstanding Young Scientist","NAST",2006,NULL
"2020-01-10 20:45:35.004523","2020-01-10 20:45:35.004523",22,"May T. Lim","Most Outstanding PhD Graduate","UP Diliman College of Science",2002,NULL
